Qty, PROD_ID, Names, Value, Package
9, CAP-08604, C1; C3; C4; C6; C12; C13; C14; C15; C16, 0.1uF, 0603
5, CAP-07888, C2; C10; C11; C17; C18, 2.2uF, 0603
2, CAP-11015, C5; C9, 10uF, 0603
2, CAP-08267, C7; C8, 18pF, 0603
1, CAP-00810, C20, 0.1uF, 0603
1, DIO-00821, D1, ESPTX-GREEN, LED-0603
1, , D2, ESP_STAT, APA102_2020_LONG
1, DIO-09003, D3, ESPRX-YELLOW, LED-0603
1, DIO-08575, D4, ULED1-BLUE, LED-0603
1, DIO-09004, D5, ULED2-WHITE, LED-0603
1, DIO-00821, D6, U7TX-GREEN, LED-0603
1, DIO-09003, D8, U7RX-YELLOW, LED-0603
1, DIO-12442, D10, 5.6V, SOD-323
1, DIO-14072, D11, 3A/10V/280mV, SOD-323
1, DIO-00819, D12, PWR-RED, LED-0603
1, , F1, PPTC_6V500MA, 0805
2, CONN-13711, J1; J2, , USB-MICROB-PTH-MILL
1, TRANS-13337, Q1, , SC70-6
2, TRANS-11153, Q22; Q23, 4.3A/20V/54mΩ, SOT23-3
42, RES-00824, R3; R4; R6; R9; R16; R17; R18; R19; R20; R21; R22; R23; R24; R25; R26; R27; R28; R29; R30; R31; R32; R33; R34; R35; R36; R38; R39; R43; R47; R51; R57; R58; R59; R60; R61; R62; R63; R64; R65; R66; R67; R68, 10k, 0603
7, RES-07856, R7; R8; R11; R12; R53; R55; R69, 1k, 0603
2, RES-07862, R13; R14, 20, 0603
4, RES-08272, R37; R41; R45; R49, 2.2k, 0603
3, SWCH-08247, S1; S2; S3, US2, TACTILE_SWITCH_SMD_5.2MM
1, SWCH-08247, S4, STM_!RST, TACTILE_SWITCH_SMD_5.2MM
1, SWCH-08247, S5, US1, TACTILE_SWITCH_SMD_5.2MM
1, IC-13849, U1, ESP-WROOM-32, ESP-WROOM-32
1, , U3, , LQFP-100
1, , U4, 1.8V, DDC5
1, IC-13192, U5, 9DoF IMU, QFN24-3X3
1, IC-12292, U6, TXB0108DQSR, UFDFN-20
1, VREG-12457, U7, 3.3V, SOT23-5
1, IC-14038, U8, CH340C, SO016
1, IC-13229, U9, W25Q32FVSS, SOIC-8
1, , Y1, 24MHz, CRYSTAL-SMD-5X3.2-4PAD
